Record_ID,Country,State_Region,Date,Confirmed_Cases,Deaths,Recovered,Active_Cases,Tests_Conducted,Vaccination_Rate,Hospitalization_Rate,ICU_Cases
COVID_002720,Mexico,Veracruz,2020-11-16,482.0,69.0,301.0,112.0,1965.0,71.6,10.4,1.0
COVID_016750,India,Tamil Nadu,2021-12-01,518.0,34.0,313.0,171.0,2000.0,47.6,10.6,2.0
COVID_010704,India,Delhi,2022-12-17,460.0,25.0,332.0,103.0,2049.0,42.2,15.7,2.0
COVID_002666,Spain,Valencia,2023-07-06,485.0,20.0,365.0,100.0,1921.0,61.3,13.7,1.0
COVID_005089,Australia,Western Australia,2020-01-09,522.0,17.0,421.0,84.0,1963.0,88.0,6.8,1.0
COVID_008562,Brazil,Parana,2020-06-10,490.0,21.0,399.0,70.0,1920.0,59.6,11.5,1.0
COVID_007852,Spain,Valencia,2022-09-07,523.0,35.0,414.0,74.0,2046.0,15.6,6.8,1.0
COVID_000279,China,Sichuan,2023-01-27,514.0,46.0,414.0,54.0,1972.0,88.0,17.8,1.0
COVID_000331,Australia,Western Australia,2020-08-17,458.0,59.0,302.0,97.0,2000.0,64.6,7.0,1.0
COVID_009821,USA,Illinois,2022-04-20,497.0,47.0,435.0,15.0,2103.0,66.3,2.4,
COVID_001590,Canada,Alberta,2023-09-14,475.0,13.0,372.0,90.0,2064.0,23.0,17.3,2.0
COVID_016300,Iran,Kerman,2021-10-05,500.0,33.0,362.0,105.0,1995.0,79.9,18.2,2.0
COVID_009903,South Africa,Western Cape,2021-05-15,476.0,48.0,382.0,46.0,2097.0,15.9,17.5,1.0
COVID_006205,Australia,South Australia,2020-12-27,483.0,14.0,430.0,39.0,1990.0,20.0,5.1,0.0
COVID_000091,Canada,Quebec,2021-07-15,542.0,81.0,389.0,72.0,2002.0,37.7,8.4,1.0
COVID_000856,India,Kerala,2021-10-12,499.0,50.0,398.0,,2064.0,61.1,11.5,1.0
COVID_014653,UK,Wales,2023-10-24,527.0,26.0,421.0,80.0,2072.0,41.2,11.9,1.0
COVID_013212,Mexico,State of Mexico,2022-07-12,494.0,59.0,354.0,81.0,2061.0,74.1,2.6,0.0
COVID_013547,Canada,New Brunswick,2020-09-10,553.0,62.0,425.0,66.0,1974.0,32.5,16.2,1.0
COVID_009634,Canada,British Columbia,2021-09-19,492.0,34.0,352.0,106.0,2006.0,66.7,18.2,2.0
COVID_004050,Iran,Fars,2023-07-06,497.0,32.0,308.0,157.0,1974.0,11.3,17.7,3.0
COVID_012003,Russia,Rostov Oblast,2023-05-16,478.0,9.0,341.0,128.0,,17.9,4.5,1.0
COVID_011557,Japan,Fukuoka,2022-10-02,478.0,11.0,347.0,120.0,1957.0,74.4,4.9,1.0
COVID_007819,South Korea,Daejeon,2020-07-27,538.0,33.0,449.0,56.0,2065.0,37.8,2.2,0.0
COVID_011250,South Korea,Chungcheong,2020-12-18,504.0,73.0,472.0,0.0,1989.0,69.7,6.5,0.0
COVID_017913,Turkey,Konya,2021-11-19,508.0,58.0,341.0,109.0,1910.0,90.2,2.7,0.0
COVID_000341,Italy,Piedmont,2022-10-15,527.0,42.0,470.0,15.0,1951.0,34.9,3.5,0.0
COVID_017418,France,Normandy,2022-08-21,440.0,52.0,405.0,0.0,1961.0,60.1,15.2,0.0
COVID_013219,UK,England,2023-06-02,515.0,58.0,331.0,126.0,1976.0,35.0,8.1,1.0
COVID_003338,China,Sichuan,2023-08-05,488.0,6.0,369.0,113.0,2076.0,65.3,12.8,1.0
COVID_010575,Italy,Piedmont,2023-08-12,530.0,53.0,369.0,108.0,2044.0,17.2,11.1,1.0
COVID_011536,South Korea,Busan,2023-08-18,502.0,64.0,406.0,32.0,2044.0,32.9,10.9,0.0
COVID_006879,Mexico,Mexico City,2022-01-25,503.0,21.0,315.0,167.0,2014.0,22.3,19.2,3.0
COVID_015705,Canada,Prince Edward Island,2020-03-01,485.0,21.0,368.0,96.0,2031.0,40.6,6.1,1.0
COVID_009076,Turkey,Ankara,2020-07-01,530.0,55.0,402.0,73.0,2002.0,56.2,11.8,1.0
COVID_010440,Spain,Galicia,2022-05-25,517.0,63.0,451.0,3.0,2017.0,14.9,15.3,0.0
COVID_004365,Spain,Castile and Leon,2020-01-03,477.0,59.0,437.0,0.0,2035.0,61.1,7.1,0.0
COVID_016463,South Africa,Free State,2023-10-13,525.0,56.0,475.0,0.0,,48.2,4.0,0.0
COVID_009446,Australia,Queensland,2020-08-13,499.0,60.0,339.0,100.0,1985.0,54.0,3.9,0.0
COVID_002926,Brazil,Minas Gerais,2021-10-22,475.0,50.0,434.0,0.0,1920.0,48.2,18.2,0.0
COVID_016736,India,Maharashtra,2021-06-28,470.0,16.0,392.0,62.0,1998.0,11.6,14.5,1.0
COVID_015369,Canada,Alberta,2021-11-15,506.0,22.0,435.0,49.0,2030.0,50.8,4.6,0.0
COVID_012946,Mexico,Veracruz,2023-11-21,504.0,24.0,455.0,25.0,2038.0,13.5,10.2,0.0
COVID_015500,Italy,Lazio,2021-06-02,484.0,43.0,402.0,39.0,2028.0,62.6,2.6,0.0
COVID_017527,South Korea,Gyeonggi,2022-08-15,494.0,51.0,369.0,74.0,2002.0,77.6,7.8,1.0
COVID_006604,Canada,Manitoba,2020-01-06,,59.0,317.0,107.0,2028.0,43.6,13.0,1.0
COVID_017932,South Africa,Eastern Cape,2021-05-18,512.0,32.0,372.0,108.0,1983.0,88.7,3.2,0.0
COVID_009977,Italy,Campania,2020-02-04,499.0,28.0,383.0,88.0,1961.0,41.8,16.6,1.0
COVID_000436,South Korea,Daejeon,2023-02-19,492.0,37.0,439.0,16.0,2030.0,28.2,4.8,0.0
COVID_017606,Australia,Western Australia,2021-12-21,515.0,60.0,349.0,106.0,1914.0,46.2,9.7,1.0
COVID_002005,Iran,Golestan,2022-01-02,456.0,19.0,309.0,128.0,2026.0,16.1,8.3,1.0
COVID_014989,Australia,South Australia,2023-04-19,477.0,12.0,412.0,53.0,2074.0,50.4,10.1,1.0
COVID_008122,Japan,Saitama,2021-09-12,520.0,6.0,396.0,118.0,1969.0,,6.3,1.0
COVID_007491,Russia,Novosibirsk Oblast,2022-05-05,529.0,10.0,490.0,29.0,2000.0,68.1,9.3,0.0
COVID_004315,India,Karnataka,2023-10-09,504.0,60.0,320.0,124.0,2021.0,52.9,13.0,2.0
COVID_013553,Turkey,Kocaeli,2021-08-20,506.0,27.0,306.0,173.0,1981.0,22.9,18.0,
COVID_016449,China,Zhejiang,2021-06-10,498.0,28.0,368.0,102.0,1987.0,68.1,11.9,1.0
COVID_007538,Iran,Alborz,2021-10-15,568.0,41.0,420.0,107.0,2091.0,64.2,8.7,1.0
COVID_000263,Iran,Gilan,2021-09-24,486.0,36.0,312.0,138.0,2041.0,50.3,19.2,3.0
COVID_014002,South Africa,Free State,2020-04-14,454.0,34.0,426.0,0.0,2022.0,16.6,3.4,0.0
COVID_006362,Turkey,Antalya,2023-07-27,482.0,65.0,332.0,85.0,1962.0,52.4,14.8,1.0
COVID_006630,UK,Scotland,2023-02-26,519.0,42.0,326.0,151.0,1912.0,15.5,13.3,2.0
COVID_010124,China,Guangdong,2023-07-18,489.0,48.0,358.0,83.0,1976.0,41.9,16.8,1.0
COVID_017994,France,Normandy,2023-06-14,517.0,67.0,477.0,0.0,2042.0,65.7,14.8,0.0
COVID_005055,USA,Florida,2022-08-23,486.0,19.0,407.0,60.0,2029.0,27.6,18.8,1.0
COVID_014445,Turkey,Konya,2022-08-15,505.0,32.0,318.0,155.0,1972.0,51.8,3.5,1.0
COVID_013297,India,Kerala,2022-10-14,499.0,39.0,318.0,142.0,1980.0,85.5,15.2,2.0
COVID_013450,USA,Florida,2020-06-17,512.0,61.0,422.0,29.0,1951.0,11.3,11.2,0.0
COVID_003837,Australia,South Australia,2021-06-05,466.0,56.0,307.0,103.0,2009.0,22.4,14.5,
COVID_008906,Italy,Calabria,2021-02-13,471.0,31.0,419.0,21.0,2065.0,19.5,15.8,0.0
COVID_015475,Australia,Northern Territory,2023-09-07,529.0,,485.0,4.0,2021.0,93.6,15.1,0.0
COVID_004354,Iran,Golestan,2021-10-06,478.0,24.0,374.0,80.0,1992.0,60.9,17.9,1.0
COVID_012129,Spain,Valencia,2023-02-07,531.0,56.0,466.0,9.0,2015.0,43.7,4.3,0.0
COVID_010917,India,Rajasthan,2022-05-01,497.0,70.0,400.0,27.0,2024.0,11.7,2.2,0.0
COVID_016190,Turkey,Gaziantep,2022-11-06,467.0,37.0,373.0,57.0,2010.0,77.0,18.5,1.0
COVID_003150,South Korea,Gangwon,2020-12-11,535.0,28.0,440.0,67.0,1959.0,20.9,14.5,1.0
COVID_001245,China,Hubei,2023-05-13,516.0,67.0,402.0,47.0,2019.0,52.2,6.2,0.0
COVID_010132,USA,Michigan,2023-06-13,514.0,62.0,357.0,95.0,1996.0,80.6,19.2,
COVID_004373,Russia,Republic of Bashkortostan,2021-06-24,533.0,6.0,429.0,98.0,1981.0,64.5,4.8,0.0
COVID_009792,Mexico,Chihuahua,2020-01-08,500.0,58.0,408.0,34.0,2073.0,14.0,12.0,0.0
COVID_008883,Italy,Lombardy,2022-07-08,444.0,35.0,325.0,84.0,1941.0,12.7,16.5,1.0
COVID_013491,Canada,New Brunswick,2023-12-01,496.0,67.0,456.0,0.0,2129.0,23.3,19.1,0.0
COVID_005542,South Africa,Limpopo,2021-07-25,482.0,,306.0,134.0,1891.0,25.1,14.2,2.0
COVID_015764,Mexico,Veracruz,2023-04-11,504.0,45.0,403.0,,2034.0,21.4,14.3,1.0
COVID_002919,Russia,Saint Petersburg,2021-09-09,481.0,15.0,294.0,172.0,2033.0,42.4,14.5,2.0
COVID_017003,China,Zhejiang,2021-12-12,541.0,80.0,462.0,0.0,2030.0,63.4,14.3,0.0
COVID_012011,Italy,Calabria,2022-10-16,512.0,64.0,343.0,105.0,2080.0,19.0,19.0,2.0
COVID_014018,Iran,Tehran,2023-10-02,484.0,7.0,339.0,138.0,2028.0,88.4,13.9,2.0
COVID_014291,India,Maharashtra,2020-06-10,498.0,33.0,,140.0,2021.0,76.2,17.2,2.0
COVID_014351,France,Ile-de-France,2022-08-24,515.0,23.0,316.0,176.0,1970.0,26.3,3.9,1.0
COVID_005797,India,Gujarat,2023-12-18,506.0,16.0,347.0,143.0,2024.0,79.8,3.3,0.0
COVID_015836,Australia,Northern Territory,2022-11-28,525.0,11.0,331.0,183.0,2028.0,24.8,5.0,1.0
COVID_011341,UK,Wales,2023-05-28,525.0,20.0,471.0,34.0,2042.0,87.7,13.0,0.0
COVID_009334,Russia,Saint Petersburg,2020-05-15,490.0,40.0,367.0,83.0,2063.0,71.1,15.7,1.0
COVID_000674,Germany,Berlin,2020-09-17,517.0,49.0,432.0,36.0,1996.0,73.9,17.7,1.0
COVID_009503,Japan,Saitama,2023-01-16,518.0,37.0,445.0,36.0,2004.0,77.3,11.9,0.0
COVID_003382,Iran,Golestan,2021-05-15,534.0,77.0,507.0,0.0,1993.0,29.8,11.6,0.0
COVID_005745,Italy,Lazio,2021-06-11,520.0,25.0,442.0,53.0,2010.0,39.4,17.5,1.0
COVID_005486,Japan,Fukuoka,2022-12-20,514.0,15.0,342.0,157.0,2038.0,53.1,9.8,2.0
COVID_013633,South Africa,Northern Cape,2023-04-17,533.0,43.0,370.0,120.0,1963.0,15.6,9.9,1.0
COVID_014727,Spain,Andalusia,2023-05-28,486.0,56.0,349.0,81.0,2137.0,,16.7,1.0
COVID_012935,Australia,Tasmania,2022-04-26,470.0,42.0,373.0,55.0,2034.0,52.7,7.2,0.0
COVID_012579,UK,Northern Ireland,2023-02-19,485.0,32.0,331.0,122.0,2014.0,68.9,5.7,1.0
COVID_003322,Germany,Saxony,2021-02-20,527.0,51.0,465.0,11.0,2060.0,26.2,9.7,0.0
COVID_003556,Canada,Alberta,2022-04-01,499.0,31.0,362.0,106.0,2024.0,67.9,19.7,2.0
COVID_004557,Brazil,Bahia,2021-10-08,473.0,28.0,361.0,84.0,2101.0,53.0,10.5,1.0
COVID_007533,Italy,Veneto,2021-12-08,496.0,71.0,307.0,118.0,1894.0,13.9,19.7,2.0
COVID_004408,USA,Texas,2022-01-17,487.0,37.0,379.0,71.0,2045.0,17.8,,0.0
COVID_014195,Australia,Western Australia,2022-06-02,516.0,22.0,469.0,25.0,1972.0,65.3,14.4,0.0
COVID_015585,USA,Pennsylvania,2022-04-03,485.0,72.0,366.0,47.0,2063.0,44.4,5.5,0.0
COVID_012936,Germany,Baden-Wurttemberg,2023-08-07,484.0,59.0,441.0,0.0,1949.0,23.8,5.4,0.0
COVID_011759,South Korea,Chungcheong,2022-06-24,471.0,35.0,325.0,111.0,1966.0,93.0,5.3,1.0
COVID_001536,Brazil,Ceara,2020-06-16,483.0,38.0,451.0,0.0,2023.0,83.1,10.4,0.0
COVID_011202,Germany,Bavaria,2020-03-25,481.0,27.0,363.0,91.0,2055.0,15.9,9.4,1.0
COVID_012073,Spain,Andalusia,2022-06-20,493.0,50.0,425.0,18.0,1982.0,46.6,10.6,0.0
COVID_011254,Russia,Rostov Oblast,2023-05-20,496.0,43.0,331.0,122.0,2018.0,69.7,18.2,2.0
COVID_004221,Mexico,Chihuahua,2023-05-09,482.0,12.0,357.0,113.0,2019.0,18.4,17.7,2.0
COVID_015078,Japan,Chiba,2022-02-11,481.0,26.0,317.0,138.0,2063.0,67.8,12.5,2.0
COVID_004020,Spain,Aragon,2023-07-24,,31.0,464.0,8.0,2033.0,63.0,17.3,0.0
COVID_015876,Japan,Saitama,2021-07-03,482.0,12.0,407.0,63.0,2027.0,37.7,6.1,0.0
COVID_008049,China,Hunan,2023-03-27,518.0,60.0,468.0,0.0,1975.0,29.8,9.8,0.0
COVID_010414,Russia,Moscow Oblast,2022-06-25,513.0,20.0,328.0,165.0,2069.0,24.7,7.2,1.0
COVID_005162,Canada,Nova Scotia,2023-02-14,530.0,36.0,380.0,114.0,2033.0,82.8,13.1,1.0
COVID_007090,Spain,Murcia,2021-09-26,,29.0,359.0,128.0,2122.0,76.7,11.4,1.0
COVID_011498,Brazil,Pernambuco,2020-05-20,482.0,69.0,317.0,96.0,1980.0,27.7,11.9,1.0
COVID_001973,Australia,Queensland,2021-06-20,473.0,28.0,311.0,134.0,1977.0,57.2,18.3,2.0
COVID_003010,Turkey,Bursa,2020-02-03,521.0,47.0,415.0,59.0,1978.0,77.3,12.6,1.0
COVID_014081,Brazil,Santa Catarina,2022-09-26,505.0,72.0,470.0,0.0,1998.0,74.9,18.2,0.0
COVID_002895,Australia,Northern Territory,2023-04-20,511.0,24.0,314.0,173.0,1973.0,93.2,18.3,3.0
COVID_000387,Canada,Prince Edward Island,2021-06-08,505.0,9.0,341.0,155.0,1971.0,59.9,3.2,0.0
COVID_003106,Mexico,Mexico City,2022-11-27,537.0,15.0,380.0,142.0,1982.0,93.9,17.3,2.0
COVID_003409,Iran,Tehran,2023-08-23,470.0,46.0,286.0,138.0,1984.0,70.6,5.9,1.0
COVID_017165,Australia,New South Wales,2022-11-17,521.0,7.0,465.0,49.0,1999.0,89.1,19.2,1.0
COVID_006188,France,Auvergne-Rhone-Alpes,2023-02-08,491.0,33.0,438.0,,1955.0,79.1,12.3,0.0
COVID_011964,Germany,Hamburg,2020-09-08,485.0,45.0,360.0,80.0,1973.0,50.8,14.6,1.0
COVID_001390,South Africa,Mpumalanga,2023-02-01,550.0,14.0,368.0,168.0,1938.0,39.3,18.4,3.0
COVID_003823,South Africa,KwaZulu-Natal,2020-03-14,516.0,28.0,423.0,65.0,2031.0,43.2,6.4,0.0
COVID_006011,Iran,Isfahan,2020-01-02,497.0,46.0,461.0,0.0,1923.0,80.2,13.5,
COVID_012529,Turkey,Istanbul,2021-03-13,517.0,44.0,486.0,0.0,1970.0,82.5,13.0,0.0
COVID_005271,Germany,Bavaria,2022-11-26,506.0,28.0,341.0,137.0,1998.0,31.8,2.5,0.0
COVID_001880,Russia,Moscow,2020-10-07,519.0,63.0,414.0,42.0,1997.0,28.7,16.9,1.0
COVID_007076,Turkey,Antalya,2020-06-26,448.0,37.0,373.0,38.0,1956.0,66.3,15.6,1.0
COVID_013163,Brazil,Minas Gerais,2022-11-17,467.0,64.0,329.0,74.0,2043.0,45.2,9.2,1.0
COVID_008775,Italy,Emilia-Romagna,2020-03-03,506.0,43.0,430.0,33.0,2041.0,43.6,13.4,0.0
COVID_000177,UK,Scotland,2020-05-23,514.0,25.0,420.0,69.0,2000.0,15.1,11.4,1.0
COVID_015895,Italy,Piedmont,2021-02-20,493.0,44.0,310.0,139.0,1920.0,23.5,7.5,1.0
COVID_017364,Italy,Campania,2023-03-21,501.0,44.0,466.0,0.0,2051.0,13.1,9.8,0.0
COVID_015552,Mexico,Jalisco,2022-10-11,535.0,24.0,381.0,130.0,2037.0,23.7,3.5,0.0
COVID_009582,India,Maharashtra,2020-08-12,491.0,49.0,331.0,111.0,2001.0,76.6,3.3,0.0
COVID_001950,Canada,Alberta,2022-12-19,495.0,25.0,403.0,67.0,1980.0,17.4,16.9,1.0
COVID_010822,India,West Bengal,2022-01-20,,32.0,331.0,165.0,1982.0,48.5,11.6,2.0
COVID_015532,Canada,British Columbia,2020-05-23,474.0,42.0,433.0,0.0,1909.0,23.4,6.5,0.0
COVID_008794,France,Brittany,2020-09-25,490.0,49.0,454.0,0.0,2054.0,24.8,3.1,0.0
COVID_009148,Italy,Sicily,2020-07-14,501.0,39.0,404.0,58.0,1935.0,78.1,13.6,1.0
COVID_014525,Japan,Hyogo,2022-06-27,490.0,23.0,309.0,158.0,1996.0,64.3,10.8,2.0
COVID_011127,USA,Ohio,2022-03-01,509.0,14.0,372.0,123.0,2024.0,18.4,16.3,2.0
COVID_003024,USA,North Carolina,2023-01-06,502.0,53.0,408.0,41.0,2025.0,85.7,12.7,1.0
COVID_015661,China,Hunan,2022-08-14,484.0,44.0,378.0,62.0,1987.0,10.1,13.9,
COVID_006946,India,Tamil Nadu,2020-05-07,475.0,44.0,365.0,66.0,2060.0,34.0,8.5,1.0
